0,1,2,3,4,5,6,7,8,9,10,11,topic_id,topic_txt,topics,title,filename,src,x,y
0.6304868459701538,0.0,0.0,0.0,0.0,0.08241287618875504,0.0,0.2468525767326355,0.0,0.0,0.03834323585033417,0.0,0,image; matrix; feature; vector; dimension; variance; component; mean; point; dataset,Topic: 0,A Beginners Guide to Unsupervised Learning | by Mathanraj Sharma | Analytics Vidhya | Medium,A Beginners Guide to Unsupervised Learning | by Mathanraj Sharma | Analytics Vidhya | Medium,medium.com,-7.164317,-3.7288702
0.18199728429317474,0.0,0.1438109427690506,0.0,0.0,0.0,0.0,0.0,0.024125194177031517,0.0,0.6491361260414124,0.0,10,distance; graph; page; node; link; search; keyword; google; rank; article,Topic: 10,Importance of Distance Metrics in Machine Learning | by Alekhyo Banerjee | Medium,Importance of Distance Metrics in Machine Learning | by Alekhyo Banerjee | Medium,medium.com,7.9341116,-3.7384815
0.0,0.0,0.0,0.0,0.0,0.0,0.16569897532463074,0.47125059366226196,0.0,0.24792011082172394,0.032400935888290405,0.08214712888002396,7,label; active; select; training; population; class; solution; ml; create; random,Topic: 7,A gentle introduction to genetic algorithm | by Nguyễn Việt Hưng | The happy lone guy | Medium,A gentle introduction to genetic algorithm | by Nguyễn Việt Hưng | The happy lone guy | Medium,medium.com,-1.2434181,-2.6921973
0.0,0.0,0.9991649389266968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,user; item; recommendation; movie; similarity; rating; system; filtering; matrix; collaborative,Topic: 2,Recommendation Systems : User-based Collaborative Filtering using N Nearest Neighbors | by Ashay Pathak | SFU Professional Master’s Program in Computer Science | Medium,Recommendation Systems : User-based Collaborative Filtering using N Nearest Neighbors | by Ashay Pathak | SFU Professional Master’s Program in Computer Science | Medium,medium.com,8.775138,-15.3243475
0.0,0.0,0.9844909310340881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014916143380105495,0.0,2,user; item; recommendation; movie; similarity; rating; system; filtering; matrix; collaborative,Topic: 2,Beginner’s guide to build Recommendation Engine in Python | by Amey Band | The Startup | Medium,Beginner’s guide to build Recommendation Engine in Python | by Amey Band | The Startup | Medium,medium.com,9.045442,-15.166301
0.043986864387989044,0.13437336683273315,0.714773416519165,0.0235038660466671,0.0,0.04513105750083923,0.03770921751856804,0.0,0.0,0.0,0.0,0.0,2,user; item; recommendation; movie; similarity; rating; system; filtering; matrix; collaborative,Topic: 2,Recommendation Engines 101. Get Started & Master the Basics | by Pierre Pfennig | data from the trenches | Medium,Recommendation Engines 101. Get Started & Master the Basics | by Pierre Pfennig | data from the trenches | Medium,medium.com,8.462137,-14.608291
0.0,0.0,0.0,0.0,0.9247235655784607,0.0,0.0,0.0,0.0,0.011458292603492737,0.0,0.0,4,security; cloud; cyber; access; trust; threat; network; risk; organization; attack,Topic: 4,Berkeley I School – Medium,Berkeley I School – Medium,medium.com,-8.973025,8.116235
0.7182314395904541,0.0,0.018408318981528282,0.0,0.04179060831665993,0.0,0.11765796691179276,0.0,0.0,0.10337091237306595,0.0,0.0,0,image; matrix; feature; vector; dimension; variance; component; mean; point; dataset,Topic: 0,"Machine Learning for Humans, Part 3: Unsupervised Learning | by Vishal Maini | Machine Learning for Humans | Medium","Machine Learning for Humans, Part 3: Unsupervised Learning | by Vishal Maini | Machine Learning for Humans | Medium",medium.com,-7.5426965,-4.145112
0.07758212834596634,0.0,0.0,0.0,0.26998385787010193,0.0,0.07319958508014679,0.061040248721838,0.25792941451072693,0.259841650724411,0.0,0.0,4,security; cloud; cyber; access; trust; threat; network; risk; organization; attack,Topic: 4,AI and Machine Learning in Cyber Security | by Formulatedby | Towards Data Science,AI and Machine Learning in Cyber Security | by Formulatedby | Towards Data Science,medium.com,-3.0961006,4.5824957
0.18791528046131134,0.0,0.6426985859870911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16737672686576843,0.0,2,user; item; recommendation; movie; similarity; rating; system; filtering; matrix; collaborative,Topic: 2,Content-Based Recommendations — Part 3 | by Rakesh4real | Fnplus Club | Medium,Content-Based Recommendations — Part 3 | by Rakesh4real | Fnplus Club | Medium,medium.com,8.7732935,-14.151243
